Textbook,Display Book Name,Chapter Number,Chapter Title,Category,Scenario Instances,Target Audience,Chapter Summary,URL,Code snippet,Code snippet description,Libraries
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,3,Working with Genomes,Scenario,Others/Generic,Educational purposes,"This chapter covers various recipes related to reference genomes. The chapter includes how to work with high-quality and low-quality reference genomes, traversing genome annotations, extracting genes, finding orthologues using the Ensembl REST API, and accessing gene ontology databases. The chapter also provides an introduction to computational biology, which heavily relies on reference genomes. Additionally, the chapter deals with non-model species and discusses how to analyze low-quality references for these species. ",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"Extract sequences from a genome based on their annotated
    feature. In this case, we are extracting mobile element sequences
    in the genome.

    'genome': A FASTA file containing a genomic sequence
    'resfinder': A GFF file containing annotations
    'feature': The annotated feature to be extracted
    """"""
    # Load reference
    genome = SeqIO.read(genome, format='fasta')
    # Load annotations
    annotations = SeqIO.read(resfinder, format='gff')
    # Extract features
    features = []
    for feature in annotations.features:
        if feature.type == feature:
            feature_seq = feature.extract(genome.seq)
            features.append(feature_seq)
    return features","This code snippet is for extracting a specific type of annotated feature from a genome reference sequence. In this specific example, the code is searching for mobile elements in the genome reference, but it can be modified to extract other annotations as well. The input parameters for this function include the genome reference sequence in FASTA format, the annotation file in GFF format, and the type of annotation to extract. The code uses the Biopython library and the SeqIO module to parse the genome and annotation files, respectively, and then iterates over the annotations to extract the specified feature. Finally, it returns a list of sequences for the extracted features. ","Biopython, Matplotlib, Pandas, Seaborn"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,4,Population Genetics,Scenario,Data and Processing,Educational purposes,"This chapter provides several recipes related to population genetics analysis of empirical datasets. The chapter includes how to compute several popular population genetics statistics such as Fst, perform Principal Component Analysis (PCA), and analyze population structure using Structure and Admixture. The chapter also covers how to use the Python package simuPOP for performing forward-time simulations of complex demographic scenarios under selection pressure. ",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Population structure with Admixture
from Bio.PopGen.GenePop.GenePop import count_populations
import subprocess

def run_admixture_plink(bfile, k):
    """"""
    Runs Admixture on a PLINK binary file.

    'bfile': The PLINK binary file prefix
    'k': The number of ancestries
    """"""
    # Create an initial solution using random seeds
    admixture_init = ['admixture', '--seed=123456', bfile + '.bed', str(k)]
    subprocess.call(admixture_init)
    # Estimate individual ancestries
    admixture_run = ['admixture', bfile + '.bed', str(k)]
    subprocess.call(admixture_run)
    # Read output
    f = open(bfile + '.bed.' + str(k) + '.Q', 'rb')
    output = f.read()
    f.close()
    # Process output
    output = output.strip().split('\n')
    data = []
    for ind, line in enumerate(output):
        fields = line.split(' ')
        fields = [float(x) for x in fields]
        fields = [ind + 1] + fields
        data.append(fields)
    # Done
    return data","This code snippet is for performing structure analysis of a population using Admixture. The function expects two parameters: a PLINK binary file prefix and the number of ancestral populations of interest. The initial step is to create an initial solution using random seeds which is done by calling the ""admixture"" function from the command line with the appropriate arguments. The next step is to estimate individual ancestries which is also done by calling the ""admixture"" function. The resulting output is then processed, resulting in a list of individual ancestry coefficients. The relevant packages used in this code are Bio.PopGen and subprocess.","Biopython, Matplotlib, Scipy, Seaborn"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,5,Population Genetics Simulation,Scenario,Data and Processing,Educational purposes,"This chapter provides several recipes related to population genetics simulations using Python. The chapter shows how to use simuPOP, a Python-based forward-time population genetics simulator, to simulate and analyze different selection and demographic regimes. It covers how to perform simulations to model complex demographic scenarios, simulate the coalescent with Biopython and fastsimcoal, and how to simulate population structure using stepping-stone and island models. The chapter also discusses coalescent simulations in forward and reverse time and the Wright-Fisher model. ",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Simulating Neutral Genetic Variation with Genic Selection
import simuPOP as sim
pop = sim.Population(size=[1000], ploidy=2, loci=1000)
sim.initGenotype(pop, freq=0.5)
s = 0.01    # Strength of selection
h = 0.5     # Dominance coefficient
n = 100     # Number of generations
m = 0.01    # Migration rate
mu = 1e-08  # Mutation rate
recomb_map = sim.NoReworkMap()
recomb_map.addUniformGenerator(rate=1e-08)
simuNE(pop,
       preOps=[sim.Stat(alleleFreq=range(0, 1000, 100)),
               sim.PyEval(r""'Gen = %d \n' % (gen)""),
               sim.SNPTagger(np.zeros(1000, bool), loci=['m0'])],
       matingScheme=sim.RandomMating(ops=sim.Recombinator(rates=recomb_map)),
       gen=n,
       loci=1000,
       records=sim.SNPHistory(),
       postOps=[
           sim.Stat(het=sim.HeteroZygosity(), popSize=True, Ne=True),
           sim.Stat(gt=sim.AllSimStats(mode=sim.ALL_AVAIL))
       ])","This code snippet demonstrates how to simulate genetic variation with genic selection using simuPOP – a forward-time population genetics simulation package written in Python. In this example, we simulate a population with 1000 bi-allelic loci and a population size of 1000 diploid individuals. The code sets the initial allele frequency to 0.5 for both alleles. The strength of selection is then set to 0.01, and the dominance coefficient is set to 0.5. The population is simulated over 100 generations with a migration rate of 0.01, and a mutation rate of 1e-08. A uniform recombination map is applied at a rate of 1e-08. The code then uses a number of statistics to record the results, including heterozygosity, population size, and Ne. The data is then plotted using SNPHistory.","Biopython, Numpy, Matplotlib, simuPOP"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,6,Phylogenetics,Scenario,GUI,Educational purposes,"This chapter provides several recipes related to phylogenetics analysis using Python. The chapter covers complete sequences of recently sequenced Ebola viruses to perform real phylogenetic analysis using the Biopython package. It discusses various concepts such as tree reconstruction and sequence comparisons, recursive algorithms to process tree-like structures, and visualization of phylogenetic data. The chapter also covers how to prepare data for phylogeny construction, aligning genetic and genomic data, and comparing sequences.",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Reconstructing phylogenetic trees
from Bio import AlignIO
from Bio.Phylo.TreeConstruction import (
    DistanceCalculator, DistanceTreeConstructor)
from Bio.Phylo.Consensus import (
    strict_consensus, majority_consensus, adam_consensus)
alignments = AlignIO.parse(""ebola_aligned.fasta"", ""fasta"")
aln = next(alignments)
calc = DistanceCalculator('identity')
dm = calc.get_distance(aln)
constructor = DistanceTreeConstructor()
tree = constructor.nj(dm)","This code snippet shows how to reconstruct phylogenetic trees using the BioPython package. The code imports AlignIO to parse multiple sequence alignments in FASTA format. It then reads an alignment file, ""ebola_aligned.fasta,"" and selects the first alignment in the iterator by calling next. The code uses a Distance Calculator to calculate the pairwise distances between each species in the selected alignment. The DistanceTreeConstructor then constructs a tree using the Neighbour Joining method. The resulting tree is represented in a Newick format and printed to the console. ","DendroPy, Matplotlib, NetworkX, Seaborn"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,7,Using the Protein Data Bank,Scenario,Others/Generic,Educational purposes,"This chapter explains how to retrieve and process Protein Data Bank (PDB) files using Biopython. The chapter discusses various tasks such as extracting more information from a PDB file, computing molecular distances on a PDB file, performing geometric operations, implementing a basic PDB parser, and animating with PyMol. The chapter also covers parsing mmCIF files using Biopython.",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Extracting more information from a PDB file
from Bio import PDB
parser = PDB.PDBParser()
structure = parser.get_structure('BGA', '1BGA.pdb')
print(structure.header['classification'])
print(structure.header['deposition_date'])","This code snippet shows how to extract more information from a PDB file using Biopython's PDB module. The code reads a PDB file, ""1BGA.pdb,"" using the PDBParser(). It then accesses the classification and deposition date information from the PDB file header using structure.header. Finally, the header information is printed to the console.","Biopython, Matplotlib, PyMOL"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,8,Other Topics in Bioinformatics,Scenario,Others/Generic,Educational purposes,"This chapter covers topics such as processing and analyzing data made available by the Global Biodiversity Information Facility (GBIF), visualizing complex networks using Cytoscape, working with geo-referenced data, and map-based services. The chapter utilizes several Python libraries such as GeoPy, Shapely, and Basemap. The chapter also covers how to store and retrieve data from SQL and NoSQL databases using Python. Finally, the chapter discusses the use of cloud computing and batch processing in bioinformatics.",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Using the GeoPy library to retrieve location data
from geopy.geocoders import Nominatim
geolocator = Nominatim(user_agent=""geoapiExercises"")
location = geolocator.geocode(""175 5th Avenue NYC"")
print((location.latitude, location.longitude))","This code snippet shows how to use the GeoPy library to retrieve location data based on a given address. The code first imports the Nominatim class from the GeoPy package. It then initializes a geolocator object with the user_agent parameter. The code retrieves the address ""175 5th Avenue NYC"" using the geolocator.geocode() method, and stores the resulting location information in the location variable. Finally, the code prints the latitude and longitude of the location to the console.","Biopython, Cytoscape, Geopy, Matplotlib, Pandas"
Bioinformatics with Python Cookbook,Bioinformatics with Python Cookbook,9,Python for Big Genomics Datasets,Scenario,API,Educational purposes,"This chapter discusses how to handle big genomic datasets by leveraging modern hardware technologies. The chapter covers topics such as parallel processing using multiprocessing, implementing parallelism using IPython Parallel, and using Dask to perform parallel processing in a distributed computing environment. The chapter also discusses cluster usage and various code optimization platforms such as Numba and Cython. Finally, the chapter explores techniques for memory optimization and the effective use of memory-mapped files.",https://www.amazon.co.jp/-/en/Tiago-Antao/dp/1782175113,"# Using Dask to parallelize a read count
import dask.bag as db
from Bio import SeqIO
import glob
filenames = glob.glob('*.fasta')
b = db.from_sequence(filenames)
records = b.map(lambda x: SeqIO.to_dict(SeqIO.parse(x, 'fasta')))
single_dict = records.map(lambda d: {k: str(v.seq) for k, v in d.items()}).\
        fold(lambda a, b: dict(list(a.items()) + list(b.items())), 
             initial=dict())
print(len(single_dict))","This code snippet shows how to use the Dask library to parallelize a read count on multiple genomic sequence files. The code first imports the necessary modules such as dask.bag and SeqIO from the Biopython package. It then reads in multiple sequence files with the same extension using the glob module. The code creates a Dask bag from the filenames, and maps the SeqIO.to_dict() method over each file. The code uses lambda functions to transform the sequence dictionaries into a single dictionary, and counts the number of sequences in the dictionary by printing its length to the console.","Biopython, Numba, Scikit-learn"
Data Wrangling with Python,Data Wrangling with Python: Tips and Tools to Make Your Life Easier,3,Data Meant to Be Read by Machines,Scenario,API,Data analysis,"This chapter discusses different file formats for data storage. The chapter distinguishes between human-readable formats, such as Microsoft Word documents, and machine-readable formats that computers understand easily. The focus of the chapter is the latter category of formats, including Comma-Separated Values (CSV), JavaScript Object Notation (JSON), and Extensible Markup Language (XML). The chapter also explains how to read and use these data formats with Python scripts to communicate findings to end-users.",https://www.oreilly.com/library/view/data-wrangling-with/9781491948804/,"from xml.etree import ElementTree as ET tree = ET.parse('data-text.xml')
    root = tree.getroot()
    data = root.find('Data')
    all_data = []
for observation in data: record = {}
for item in observation:
            lookup_key = item.attrib.keys()[0]
if lookup_key == 'Numeric':
rec_key = 'NUMERIC'
rec_value = item.attrib['Numeric']
else:
rec_key = item.attrib[lookup_key] rec_value = item.attrib['Code']
            record[rec_key] = rec_value
        all_data.append(record)
print all_data","This code snippet is designed to parse an XML file named 'data-text.xml' using ElementTree. It loads the XML, accesses its root, and then specifically targets a child element named 'Data'. The code iterates through each child element ('observation') within 'Data', extracting key-value pairs based on the attributes of these child elements. For each observation, it creates a dictionary where keys are determined by the attribute's name (with special handling for the 'Numeric' attribute) and values are extracted from the attributes. These dictionaries are then aggregated into a list, all_data, representing the structured data extracted from the XML. Finally, the list all_data is printed, showcasing the organized data from the XML file.","csv, json, xml"
Data Wrangling with Python,Data Wrangling with Python: Tips and Tools to Make Your Life Easier,4,Working with Excel Files (B),Scenario,Others/Generic,Data analysis,"In this chapter, the focus is on how to extract information from Excel files using Python packages such as xlrd, pandas, and openpyxl. The chapter explains that extracting data from Excel files can be challenging because Excel files can contain multiple sheets, formats, and formulas that might not be visible. The author explains the process of installing these external libraries and then demonstrates how to open a specified Excel file, select a particular sheet, and extract required data using Python packages. Finally, the author combines all the steps to create a script that can parse Excel files and extract information from them.",https://www.oreilly.com/library/view/data-wrangling-with/9781491948804/,"# Import the required library
import pandas as pd

# Assign an Excel file to a variable
file = 'example.xlsx'

# Load the first sheet of the Excel file into a data frame
df = pd.read_excel(file)","This code snippet demonstrates how to read an Excel file and load its data into a data frame using the Python package - Pandas. It imports the package using the statement: `import pandas as pd`. Then, assigns the 'example.xlsx' file to a variable `file`. Finally, the code loads the first sheet of the Excel file to a data frame using the `read_excel()` function in Pandas and saves the data frame to a variable `df`. This snippet provides a simple example of how to read Excel files using Pandas, and similar functions in other packages like xlrd and openpyxl work similarly.","xlrd, openpyxl"
Data Wrangling with Python,Data Wrangling with Python: Tips and Tools to Make Your Life Easier,5,PDFs and Problem Solving in Python,Scenario,Others/Generic,Data analysis,"The chapter explains how to extract useful information from PDF files using Python. It starts by highlighting some of the challenges associated with using PDFs as a data source, including their complexity and variability. The chapter then discusses some available Python packages that make it possible to work with PDFs efficiently, such as pdfminer, slate, and PyPDF2. The author walks through various examples of analyzing PDFs with Python, including reading text from a PDF, identifying tables, and extracting data from tables. The author also provides some general strategies for problem-solving when working with PDFs. Finally, the chapter concludes with an exercise where the reader can practice using Python to extract data from PDF files.",https://www.oreilly.com/library/view/data-wrangling-with/9781491948804/,"# Import Required Library 
import slate3k as slate

# Open and Read a PDF File 
with open('example.pdf', 'rb') as f:
    document_text = slate.PDF(f)
print(document_text)","This code snippet demonstrates how to import the slate3k library and use it to read a PDF file and extract its text. First, the required library 'slate3k' is imported using the statement: `import slate3k as slate`. Then, a PDF file named 'example.pdf' is opened in the read-binary mode ('rb') using the 'open' function. ","PyPDF2, pdfminer"
Data Wrangling with Python,Data Wrangling with Python: Tips and Tools to Make Your Life Easier,8,Data Cleanup: Standardizing and Scripting,Scenario,Others/Generic,Data analysis,"The chapter discusses how to standardize and automate the data cleanup process in Python. It starts by explaining how to normalize and standardize data using techniques such as scaling data, creating dummy variables, and encoding categorical variables. The chapter also provides an overview of the basic principles of scripting data cleanup, such as using automation tools and techniques to increase efficiency. Additionally, it introduces readers to the concept of scripting data cleanup, teaching how to write a cleanup script for specific data transformations. Finally, the chapter concludes by demonstrating how to test the cleanup script using new data. In summary, the chapter provides a comprehensive guide to standardizing the data cleanup process in Python, using automation tools and techniques to make the process more efficient and less prone to errors.",https://www.oreilly.com/library/view/data-wrangling-with/9781491948804/,"import dataset
db = dataset.connect('sqlite:///data_wrangling.db') table = db['unicef_survey']
for row_num, data in enumerate(zipped_data): for question, answer in data:
            data_dict = {
                'question': question[1],
                'question_code': question[0],
                'answer': answer,
                'response_number': row_num,
                'survey': 'mn',
            }
        table.insert(data_dict)","This code demonstrates the process of importing data into a SQLite database using the dataset library. It starts by importing the dataset module and establishing a connection to a SQLite database named 'data_wrangling.db'. A table named 'unicef_survey' is then accessed or created in this database. The code iterates over 'zipped_data', which appears to be a collection of tuples pairing survey questions and answers. For each row (enumerated by 'row_num') and each question-answer pair in the data, it creates a dictionary 'data_dict'. This dictionary includes the question text, its code, the corresponding answer, the response number (which serves as a unique identifier for each survey response), and a hard-coded survey identifier ('mn'). Finally, each of these dictionaries is inserted as a new record into the 'unicef_survey' table in the database, effectively storing each survey response as a separate row in the table.","pandas, NumPy, re"
